id,plant_id,variety,brand,quantity,purchase_date,expiration_date,germination_rate,location,price,notes,created_at,is_global,days_to_maturity,germination_days,plant_spacing,row_spacing,planting_depth,germination_temp_min,germination_temp_max,soil_temp_min,heat_tolerance,cold_tolerance,bolt_resistance,ideal_seasons,flavor_profile,storage_rating,user_id,catalog_seed_id,last_synced_at
1,lettuce-looseleaf-1,Black Seeded Simpson,,0,,,,,,"Type: Looseleaf | DTM: 46-50 days | Soil Temp: 40-75°F | Early, frilly green leaves",2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
2,lettuce-looseleaf-1,Grand Rapids,,0,,,,,,Type: Looseleaf | DTM: 42-60 days | Soil Temp: 40-75°F | Quick spring/fall variety,2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
3,lettuce-looseleaf-1,Slobolt,,0,,,,,,Type: Looseleaf | DTM: 45-60 days | Soil Temp: 40-75°F | Slow to bolt,2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
4,lettuce-looseleaf-1,Salad Bowl (green),,0,,,,,,Type: Looseleaf | DTM: 45-50 days | Soil Temp: 40-75°F | Cut-and-come-again,2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
5,lettuce-looseleaf-1,Red Salad Bowl,,0,,,,,,Type: Looseleaf | DTM: 45-50 days | Soil Temp: 40-75°F | Red version Salad Bowl,2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
6,lettuce-looseleaf-1,Red Sails,,0,,,,,,"Type: Looseleaf | DTM: 53 days | Soil Temp: 40-75°F | Frilly red, slow to bolt",2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
7,lettuce-looseleaf-1,New Red Fire,,0,,,,,,Type: Looseleaf | DTM: 45 days | Soil Temp: 40-75°F | Heat tolerant,2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
8,lettuce-looseleaf-1,Emerald Fan,,0,,,,,,Type: Looseleaf | DTM: 50 days | Soil Temp: 50-75°F | Compact green leaf,2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
9,lettuce-looseleaf-1,Jester,,0,,,,,,Type: Looseleaf | DTM: 45-55 days | Soil Temp: 40-75°F | Looseleaf example,2025-11-13 16:54:37.050149,1,45,,,,,,,,,,,,,,1,,
10,lettuce-romaine-1,Parris Island Cos,,0,,,,,,Type: Romaine | DTM: 68-70 days | Soil Temp: 40-75°F | Standard romaine,2025-11-13 16:54:37.050149,1,75,,,,,,,,,,,,,,1,,
11,lettuce-1,Little Gem,,0,,,,,,Type: Romaine mini | DTM: 50 days | Soil Temp: 40-75°F | Small sweet romaine,2025-11-13 16:54:37.050149,1,55,,,,,,,,,,,,,,1,,
12,lettuce-butterhead-1,Buttercrunch,,0,,,,,,Type: Butterhead | DTM: 60-70 days | Soil Temp: 40-75°F | Popular Bibb type,2025-11-13 16:54:37.050149,1,65,,,,,,,,,,,,,,1,,
13,lettuce-butterhead-1,Esmeralda,,0,,,,,,Type: Butterhead | DTM: 50-70 days | Soil Temp: 40-75°F | Bolt-tolerant,2025-11-13 16:54:37.050149,1,65,,,,,,,,,,,,,,1,,
14,lettuce-crisphead-1,Great Lakes 118,,0,,,,,,Type: Crisphead | DTM: 70-90 days | Soil Temp: 40-75°F | Classic iceberg,2025-11-13 16:54:37.050149,1,50,,,,,,,,,,,,,,1,,
15,lettuce-crisphead-1,Ithaca,,0,,,,,,Type: Crisphead | DTM: 65-75 days | Soil Temp: 40-75°F | Compact ball head,2025-11-13 16:54:37.061830,1,85,,,,,,,,,,,,,,1,,
16,lettuce-crisphead-1,Salinas,,0,,,,,,Type: Crisphead | DTM: 70-80 days | Soil Temp: 40-75°F | Heat tolerant iceberg,2025-11-13 16:54:37.061830,1,85,,,,,,,,,,,,,,1,,
17,lettuce-summercrisp-1,Coastline,,0,,,,,,Type: Summer crisp | DTM: 35-55 days | Soil Temp: 40-75°F | Batavian type,2025-11-13 16:54:37.061830,1,60,,,,,,,,,,,,,,1,,
18,lettuce-summercrisp-1,Sierra Batavia,,0,,,,,,Type: Summer crisp | DTM: 60-65 days | Soil Temp: 40-75°F | Slow to bolt,2025-11-13 16:54:37.061830,1,60,,,,,,,,,,,,,,1,,
